scope_id,scenario,quarter_id,action_type,action_score,project_id,plant,material_or_wc,recommended_target_plant,reason,expected_effect,confidence,explanation_trace
denmark_demo,all_in,2027-Q1,split_production,0.756118,SF-100477,NW10,,,Very high capacity risk — split load across plants or weeks,Reduced bottleneck pressure; higher logistics complexity,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""split_production""}"
denmark_demo,all_in,2026-Q3,split_production,0.756115,SF-100477,NW10,,,Very high capacity risk — split load across plants or weeks,Reduced bottleneck pressure; higher logistics complexity,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""split_production""}"
denmark_demo,all_in,2027-Q4,buy_now,0.756108,SF-100477,NW10,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,1.0,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""buy_now""}"
denmark_demo,all_in,2026-Q4,buy_now,0.736128,SF-100477,NW10,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,1.0,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.7896,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""buy_now""}"
global_reference,all_in,2028-Q1,buy_now,0.701625,SF-100675,NW05,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,1.0,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.8505,""maint_severity"":""medium"",""has_protect_opportunity"":true,""caution_carry_over"":false,""action_selected"":""buy_now""}"
global_reference,all_in,2028-Q4,buy_now,0.70162,SF-100675,NW05,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,1.0,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.8504,""maint_severity"":""medium"",""has_protect_opportunity"":true,""caution_carry_over"":false,""action_selected"":""buy_now""}"
global_reference,all_in,2028-Q2,shift_maintenance,0.701619,SF-100675,NW05,P01_NW05_ASSY_1,,Maintenance window conflicts with high-load quarter — shift timing,Maintenance rescheduled to lower-load period; minor schedule disruption,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.8504,""maint_severity"":""medium"",""has_protect_opportunity"":true,""caution_carry_over"":false,""action_selected"":""shift_maintenance""}"
global_reference,all_in,2028-Q3,shift_maintenance,0.701616,SF-100675,NW05,P01_NW05_ASSY_1,,Maintenance window conflicts with high-load quarter — shift timing,Maintenance rescheduled to lower-load period; minor schedule disruption,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.8504,""maint_severity"":""medium"",""has_protect_opportunity"":true,""caution_carry_over"":false,""action_selected"":""shift_maintenance""}"
global_reference,all_in,2027-Q1,escalate,0.68896,SF-100133,NW03,,,Critical risk level — escalate to planning management,Management visibility; expedited resource allocation,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.7331,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""escalate""}"
global_reference,all_in,2027-Q2,escalate,0.688954,SF-100133,NW03,,,Critical risk level — escalate to planning management,Management visibility; expedited resource allocation,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.7331,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""escalate""}"
global_reference,all_in,2026-Q3,escalate,0.688938,SF-100133,NW03,,,Critical risk level — escalate to planning management,Management visibility; expedited resource allocation,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.7331,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""escalate""}"
global_reference,all_in,2027-Q4,escalate,0.688923,SF-100133,NW03,,,Critical risk level — escalate to planning management,Management visibility; expedited resource allocation,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.7331,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""escalate""}"
global_reference,all_in,2027-Q2,shift_maintenance,0.686617,SF-100290,NW02,P01_NW02_ASSY_1,,Maintenance window conflicts with high-load quarter — shift timing,Maintenance rescheduled to lower-load period; minor schedule disruption,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.7223,""maint_severity"":""medium"",""has_protect_opportunity"":true,""caution_carry_over"":false,""action_selected"":""shift_maintenance""}"
global_reference,all_in,2027-Q1,shift_maintenance,0.686615,SF-100290,NW02,P01_NW02_ASSY_1,,Maintenance window conflicts with high-load quarter — shift timing,Maintenance rescheduled to lower-load period; minor schedule disruption,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.7223,""maint_severity"":""medium"",""has_protect_opportunity"":true,""caution_carry_over"":false,""action_selected"":""shift_maintenance""}"
global_reference,all_in,2027-Q3,shift_maintenance,0.686612,SF-100290,NW02,P01_NW02_ASSY_1,,Maintenance window conflicts with high-load quarter — shift timing,Maintenance rescheduled to lower-load period; minor schedule disruption,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.7223,""maint_severity"":""medium"",""has_protect_opportunity"":true,""caution_carry_over"":false,""action_selected"":""shift_maintenance""}"
global_reference,all_in,2027-Q4,shift_maintenance,0.686598,SF-100290,NW02,P01_NW02_ASSY_1,,Maintenance window conflicts with high-load quarter — shift timing,Maintenance rescheduled to lower-load period; minor schedule disruption,1.0,"{""top_driver"":""capacity_risk"",""avg_risk"":0.7223,""maint_severity"":""medium"",""has_protect_opportunity"":true,""caution_carry_over"":false,""action_selected"":""shift_maintenance""}"
denmark_demo,expected_value,2027-Q1,split_production,0.680506,SF-100477,NW10,,,Very high capacity risk — split load across plants or weeks,Reduced bottleneck pressure; higher logistics complexity,0.9,"{""top_driver"":""capacity_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""split_production""}"
denmark_demo,high_confidence,2027-Q1,split_production,0.680506,SF-100477,NW10,,,Very high capacity risk — split load across plants or weeks,Reduced bottleneck pressure; higher logistics complexity,0.9,"{""top_driver"":""capacity_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""split_production""}"
denmark_demo,high_confidence,2026-Q3,split_production,0.680503,SF-100477,NW10,,,Very high capacity risk — split load across plants or weeks,Reduced bottleneck pressure; higher logistics complexity,0.9,"{""top_driver"":""capacity_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""split_production""}"
denmark_demo,expected_value,2026-Q3,split_production,0.680503,SF-100477,NW10,,,Very high capacity risk — split load across plants or weeks,Reduced bottleneck pressure; higher logistics complexity,0.9,"{""top_driver"":""capacity_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""split_production""}"
denmark_demo,high_confidence,2027-Q4,buy_now,0.680497,SF-100477,NW10,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,0.9,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""buy_now""}"
denmark_demo,expected_value,2027-Q4,buy_now,0.680497,SF-100477,NW10,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,0.9,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.811,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""buy_now""}"
global_reference,all_in,2027-Q2,buy_now,0.670084,SF-100009,NW04,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,1.0,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.7116,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""buy_now""}"
global_reference,all_in,2027-Q4,buy_now,0.670076,SF-100009,NW04,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,1.0,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.7116,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""buy_now""}"
global_reference,all_in,2027-Q1,buy_now,0.670076,SF-100009,NW04,,,Sourcing risk is elevated — order now to beat lead time,Reduced shortage risk; earlier inventory build-up,1.0,"{""top_driver"":""sourcing_risk"",""avg_risk"":0.7116,""maint_severity"":""none"",""has_protect_opportunity"":false,""caution_carry_over"":false,""action_selected"":""buy_now""}"
