policy_id,plant,work_center,tool_no_if_available,maintenance_trigger_type,estimated_interval_weeks_synth,expected_downtime_hours_synth,policy_generation_rule,generation_version,random_seed
MAINT_NW01_P01_NW01_ASSY_1_COR,NW01,P01_NW01_ASSY_1,T-70039-B,corrective_unscheduled,4,8.0,"Corrective unscheduled: expected recurrence every 4 weeks, 8h downtime. Represents mean-time-between-failure analogue. Fully synthetic.",wave6_maintenance_v1,42
MAINT_NW01_P01_NW01_EXTRUSION_1_SCH,NW01,P01_NW01_EXTRUSION_1,T-70597-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW01_P01_NW01_GRINDING_1_REG,NW01,P01_NW01_GRINDING_1,T-70649-D,regulatory_inspection,13,2.0,"Regulatory inspection: quarterly (every 13 weeks), 2h downtime. Based on typical EU/OSHA inspection frequency. Synthetic.",wave6_maintenance_v1,42
MAINT_NW01_P01_NW01_PRESS_1_SCH,NW01,P01_NW01_PRESS_1,T-70377-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW01_P01_NW01_PRESS_2_SCH,NW01,P01_NW01_PRESS_2,T-70539-D,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW01_P01_NW01_PRESS_3_SCH,NW01,P01_NW01_PRESS_3,T-70152-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW01_P01_NW01_PRESS_4_SCH,NW01,P01_NW01_PRESS_4,T-70017-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW01_P01_NW01_PRESS_5_SCH,NW01,P01_NW01_PRESS_5,T-70280-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW01_P01_NW01_PRESS_6_SCH,NW01,P01_NW01_PRESS_6,T-70689-C,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_ASSY_1_COR,NW02,P01_NW02_ASSY_1,T-70649-D,corrective_unscheduled,4,8.0,"Corrective unscheduled: expected recurrence every 4 weeks, 8h downtime. Represents mean-time-between-failure analogue. Fully synthetic.",wave6_maintenance_v1,42
