scenario,plant,work_center,tool_no_if_available,bottleneck_severity,top_driver_project_count,suggested_capacity_lever,explanation_note
all_in,NW14,P01_NW14_GRINDING_1,T-70494-A,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW14_GRINDING_1 peaks at 47719% utilisation, 1700783.4 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_GRINDING_1,T-70649-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_GRINDING_1 peaks at 44806% utilisation, 2438915.6 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW11,P01_NW11_PRESS_1,T-70171-B,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW11_PRESS_1 peaks at 44015% utilisation, 2572235.3 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW07,P01_NW07_ASSY_1,T-70261-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW07_ASSY_1 peaks at 42679% utilisation, 1535927.0 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW08,P01_NW08_GRINDING_1,T-70065-C,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW08_GRINDING_1 peaks at 40149% utilisation, 1361160.5 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_PRESS_1,T-70377-B,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_PRESS_1 peaks at 39775% utilisation, 2312097.2 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW13,P01_NW13_ASSY_1,T-70317-A,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW13_ASSY_1 peaks at 38677% utilisation, 1231826.6 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW07,P01_NW07_PRESS_2,T-70154-B,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW07_PRESS_2 peaks at 38473% utilisation, 1458005.5 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW08,P01_NW08_ASSY_1,T-70027-B,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW08_ASSY_1 peaks at 38413% utilisation, 1317618.8 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW04,P01_NW04_PRESS_1,T-70130-A,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW04_PRESS_1 peaks at 37829% utilisation, 2390613.8 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW06,P01_NW06_ASSY_1,T-70472-C,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW06_ASSY_1 peaks at 37407% utilisation, 1976074.8 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_ASSY_1,T-70649-D,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_ASSY_1 peaks at 36964% utilisation, 1306745.8 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW10,P01_NW10_LATHE_1,T-70195-C,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW10_LATHE_1 peaks at 36629% utilisation, 1785719.2 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_PRESS_2,T-70268-C,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_PRESS_2 peaks at 36386% utilisation, 1354380.3 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_PRESS_1,T-70069-B,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_PRESS_1 peaks at 35985% utilisation, 1401485.1 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW04,P01_NW04_ASSY_1,T-70271-D,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW04_ASSY_1 peaks at 34997% utilisation, 2125788.7 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_PRESS_2,T-70539-D,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_PRESS_2 peaks at 34164% utilisation, 1966243.0 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW04,P01_NW04_PRESS_3,T-70655-D,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW04_PRESS_3 peaks at 33884% utilisation, 2192179.6 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW06,P01_NW06_GRINDING_1,T-70510-B,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW06_GRINDING_1 peaks at 33779% utilisation, 1776366.1 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW11,P01_NW11_ASSY_1,T-70628-D,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW11_ASSY_1 peaks at 33374% utilisation, 1858220.6 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW10,P01_NW10_PRESS_1,T-70620-C,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW10_PRESS_1 peaks at 32838% utilisation, 1699614.5 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_GRINDING_1,T-70650-B,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_GRINDING_1 peaks at 32606% utilisation, 1804738.3 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW07,P01_NW07_GRINDING_1,T-70434-C,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW07_GRINDING_1 peaks at 32562% utilisation, 1166718.9 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW04,P01_NW04_GRINDING_1,T-70288-A,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW04_GRINDING_1 peaks at 32388% utilisation, 1975041.3 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW11,P01_NW11_PRESS_2,T-70678-B,critical,6,no_lever_available,"CRITICAL — fully overloaded: P01_NW11_PRESS_2 peaks at 32234% utilisation, 1898029.1 overload hours total, driven by 6 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW10,P01_NW10_ASSY_1,T-70340-B,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW10_ASSY_1 peaks at 31851% utilisation, 1549706.2 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW03,P01_NW03_PRES_3_1,T-70416-C,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW03_PRES_3_1 peaks at 31818% utilisation, 1916578.3 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW13,P01_NW13_PRESS_2,T-70314-A,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW13_PRESS_2 peaks at 31584% utilisation, 1077391.5 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW09,P01_NW09_PRESS_3,T-70169-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW09_PRESS_3 peaks at 31465% utilisation, 1766641.0 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW12,P01_NW12_PRESS_1,T-70309-D,critical,9,no_lever_available,"CRITICAL — fully overloaded: P01_NW12_PRESS_1 peaks at 30953% utilisation, 1016910.2 overload hours total, driven by 9 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW03,P01_NW03_PRES_3_2,T-70601-B,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW03_PRES_3_2 peaks at 30779% utilisation, 1876733.5 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW04,P01_NW04_PRESS_2,T-70282-D,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW04_PRESS_2 peaks at 30716% utilisation, 1961599.6 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
